Normal,Greek,,Cyrillic,,Armenian,,Cherokee,,U+1D00,,Tifinagh,,Lisu,,Pau Chin Hau,,Miao,,U+1D2C,,U+1D43,,U+1D9C,,U+2090,,U+207F,,U+2102 (Letter like Symbols),,U+217C (Roman Numerals),,U+AB70 (Cherokee Supplement),,U+FF21 (Fullwidth Forms),,U+10280 (Lycian),,U+102A0 (Carian),,U+1FF10,,U+1F130,,U+1F150,,U+1F170,,U+1D400,,U+1D434,,U+1D468,,U+1D49C,,U+1D4D0,,U+1D504,,U+1D538,,U+1D56C,,U+1D5A0,,U+1D5D4,,U+1D608,,U+1D63C,,U+1D670,
A,Α,0,А,0,,0,Ꭺ,0,,0,,0,,0,,0,𖽀,0,ᴀ,4,ᴬ,4,,4,,4,,4,,4,,0,ꭺ,4,Ａ,4,,4,𐊠,4,🄐,6,🄰,6,🅐,6,🅰,6,𝐀,4,𝐴,4,𝑨,4,𝒜,4,𝓐,4,𝔄,4,𝔸,4,𝕬,4,𝖠,4,𝗔,4,𝘈,4,𝘼,4,𝙰,4
B,Β,0,В,0,,0,,0,,0,,0,ꓐ,0,𑫄,0,,0,ᴃ,4,ᴮ,4,,4,,4,,4,,4,,0,,4,Ｂ,4,𐊂,4,𐊡,4,🄑,6,🄱,6,🅑,6,🅱,6,𝐁,4,𝐵,4,𝑩,4,,4,𝓑,4,𝔅,4,𝔹,4,𝕭,4,𝖡,4,𝗕,4,𝘉,4,𝘽,4,𝙱,4
C,Ϲ,0,С,0,,0,,0,,0,,0,ꓚ,0,,0,,0,ᴄ,4,,4,,4,,4,,4,ℂ,4,Ⅽ,0,ꮯ,4,Ｃ,4,,4,𐊢,4,🄒,6,🄲,6,🅒,6,🅲,6,𝐂,4,𝐶,4,𝑪,4,𝒞,4,𝓒,4,,4,,4,𝕮,4,𝖢,4,𝗖,4,𝘊,4,𝘾,4,𝙲,4
D,,0,,0,,0,Ꭰ,0,,0,,0,,0,,0,,0,ᴅ,4,ᴰ,4,,4,,4,,4,ⅅ,4,Ⅾ,0,ꭰ,4,Ｄ,4,,4,,4,🄓,6,🄳,6,🅓,6,🅳,6,𝐃,4,𝐷,4,𝑫,4,𝒟,4,𝓓,4,𝔇,4,𝔻,4,𝕯,4,𝖣,4,𝗗,4,𝘋,4,𝘿,4,𝙳,4
E,Ε,0,Е,0,,0,Ꭼ,0,,0,ⴹ,0,ꓰ,0,,0,,0,ᴇ,4,ᴱ,4,,4,,4,,4,,4,,0,ꭼ,4,Ｅ,4,𐊆,4,𐊤,4,🄔,6,🄴,6,🅔,6,🅴,6,𝐄,4,𝐸,4,𝑬,4,,4,𝓔,4,𝔈,4,𝔼,4,𝕰,4,𝖤,4,𝗘,4,𝘌,4,𝙀,4,𝙴,4
F,Ϝ,1,,0,,0,,0,,0,,0,ꓝ,0,,0,,0,,4,,4,,4,,4,,4,ℱ,4,,0,,4,Ｆ,4,𐊇,4,𐊥,4,🄕,6,🄵,6,🅕,6,🅵,6,𝐅,4,𝐹,4,𝑭,4,,4,𝓕,4,𝔉,4,𝔽,4,𝕱,4,𝖥,4,𝗙,4,𝘍,4,𝙁,4,𝙵,4
G,,0,,0,,0,Ꮐ,0,,0,,0,ꓖ,0,,0,,0,,4,ᴳ,4,,4,,4,,4,,4,,0,,4,Ｇ,4,,4,,4,🄖,6,🄶,6,🅖,6,🅶,6,𝐆,4,𝐺,4,𝑮,4,𝒢,4,𝓖,4,𝔊,4,𝔾,4,𝕲,4,𝖦,4,𝗚,4,𝘎,4,𝙂,4,𝙶,4
H,Η,0,Н,0,,0,,0,,0,,0,ꓧ,0,,0,,0,,4,ᴴ,4,,4,,4,,4,ℍ,4,,0,ꮋ,4,Ｈ,4,,4,,4,🄗,6,🄷,6,🅗,6,🅷,6,𝐇,4,𝐻,4,𝑯,4,,4,𝓗,4,,4,,4,𝕳,4,𝖧,4,𝗛,4,𝘏,4,𝙃,4,𝙷,4
I,Ι,0,І,0,,0,,0,,0,ⵏ,0,ꓲ,0,,0,𖼨,0,,4,ᴵ,4,,4,,4,,4,,4,Ⅰ,0,,4,Ｉ,4,𐊈,4,𐊦,4,🄘,6,🄸,6,🅘,6,🅸,6,𝐈,4,𝐼,4,𝑰,4,,4,𝓘,4,,4,𝕀,4,𝕴,4,𝖨,4,𝗜,4,𝘐,4,𝙄,4,𝙸,4
